Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin_add_course,Chrome 63.0.3239.84,,2018-03-25 22:51:24,2018-03-25 22:51:37,13.547s,FAILED
,,,,,,
Test Cases/Admin_add_course,Chrome 63.0.3239.84,,2018-03-25 22:51:24,2018-03-25 22:51:37,12.182s,FAILED
openBrowser,Chrome 63.0.3239.84,,2018-03-25 22:51:25,2018-03-25 22:51:31,5.715s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-03-25 22:51:31,2018-03-25 22:51:32,1.663s,PASSED
setText,Chrome 63.0.3239.84,,2018-03-25 22:51:32,2018-03-25 22:51:33,0.354s,PASSED
setText,Chrome 63.0.3239.84,,2018-03-25 22:51:33,2018-03-25 22:51:33,0.248s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:51:33,2018-03-25 22:51:33,0.247s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:51:33,2018-03-25 22:51:33,0.183s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:51:33,2018-03-25 22:51:36,2.678s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:51:36,2018-03-25 22:51:36,0.161s,PASSED
setText,Chrome 63.0.3239.84,,2018-03-25 22:51:36,2018-03-25 22:51:37,0.251s,FAILED
