Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin_update_course,Chrome 63.0.3239.84,,2018-03-25 22:48:50,2018-03-25 22:49:02,11.880s,FAILED
,,,,,,
Test Cases/Add_update_course,Chrome 63.0.3239.84,,2018-03-25 22:48:51,2018-03-25 22:49:01,10.471s,FAILED
openBrowser,Chrome 63.0.3239.84,,2018-03-25 22:48:52,2018-03-25 22:48:57,5.074s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-03-25 22:48:57,2018-03-25 22:48:58,1.008s,PASSED
setText,Chrome 63.0.3239.84,,2018-03-25 22:48:58,2018-03-25 22:48:58,0.302s,PASSED
setText,Chrome 63.0.3239.84,,2018-03-25 22:48:58,2018-03-25 22:48:58,0.246s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:48:58,2018-03-25 22:48:58,0.171s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:48:58,2018-03-25 22:48:59,0.137s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:48:59,2018-03-25 22:49:01,2.513s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:49:01,2018-03-25 22:49:01,0.130s,PASSED
setText,Chrome 63.0.3239.84,,2018-03-25 22:49:01,2018-03-25 22:49:01,0.087s,FAILED
