Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin_view_course,Chrome 63.0.3239.84,,2018-03-25 22:37:51,2018-03-25 22:38:05,14.708s,PASSED
,,,,,,
Test Cases/Admin_view_course,Chrome 63.0.3239.84,,2018-03-25 22:37:51,2018-03-25 22:38:05,13.948s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-03-25 22:37:52,2018-03-25 22:37:59,6.722s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-03-25 22:37:59,2018-03-25 22:38:00,1.810s,PASSED
setText,Chrome 63.0.3239.84,,2018-03-25 22:38:00,2018-03-25 22:38:01,0.348s,PASSED
setText,Chrome 63.0.3239.84,,2018-03-25 22:38:01,2018-03-25 22:38:01,0.248s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:38:01,2018-03-25 22:38:01,0.188s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:38:01,2018-03-25 22:38:01,0.144s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:38:01,2018-03-25 22:38:02,0.147s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:38:02,2018-03-25 22:38:05,2.990s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-03-25 22:38:05,2018-03-25 22:38:05,0.798s,PASSED
