Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Administrator delete system,Chrome 63.0.3239.84,,2018-03-25 22:25:07,2018-03-25 22:25:21,14.066s,PASSED
,,,,,,
Test Cases/Administrator delete system,Chrome 63.0.3239.84,,2018-03-25 22:25:08,2018-03-25 22:25:21,12.992s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-03-25 22:25:08,2018-03-25 22:25:14,5.514s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-03-25 22:25:14,2018-03-25 22:25:16,2.308s,PASSED
setText,Chrome 63.0.3239.84,,2018-03-25 22:25:16,2018-03-25 22:25:17,0.482s,PASSED
setText,Chrome 63.0.3239.84,,2018-03-25 22:25:17,2018-03-25 22:25:17,0.243s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:25:17,2018-03-25 22:25:17,0.182s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:25:17,2018-03-25 22:25:17,0.345s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:25:17,2018-03-25 22:25:20,2.294s,PASSED
click,Chrome 63.0.3239.84,,2018-03-25 22:25:20,2018-03-25 22:25:20,0.155s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-03-25 22:25:20,2018-03-25 22:25:21,0.844s,PASSED
