Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
studentAddCourse,Chrome 65.0.3325.162,student add course testing,2018-03-24 19:23:02,2018-03-24 19:23:17,14.650s,PASSED
,,,,,,
Test Cases/Stu_addCourse test,Chrome 65.0.3325.162,This is a student add course test,2018-03-24 19:23:03,2018-03-24 19:23:17,14.022s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-24 19:23:03,2018-03-24 19:23:10,6.938s,PASSED
navigateToUrl,Chrome 65.0.3325.162,,2018-03-24 19:23:10,2018-03-24 19:23:11,1.163s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-24 19:23:11,2018-03-24 19:23:12,0.412s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-24 19:23:12,2018-03-24 19:23:12,0.223s,PASSED
click,Chrome 65.0.3325.162,,2018-03-24 19:23:12,2018-03-24 19:23:12,0.196s,PASSED
click,Chrome 65.0.3325.162,,2018-03-24 19:23:12,2018-03-24 19:23:13,1.067s,PASSED
click,Chrome 65.0.3325.162,,2018-03-24 19:23:13,2018-03-24 19:23:14,0.366s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,,2018-03-24 19:23:14,2018-03-24 19:23:14,0.565s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,,2018-03-24 19:23:14,2018-03-24 19:23:14,0.354s,PASSED
click,Chrome 65.0.3325.162,,2018-03-24 19:23:14,2018-03-24 19:23:15,0.244s,PASSED
click,Chrome 65.0.3325.162,,2018-03-24 19:23:15,2018-03-24 19:23:15,0.672s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-24 19:23:15,2018-03-24 19:23:17,1.310s,PASSED
