Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
studentWithdrawalCourse,Chrome 65.0.3325.162,,2018-03-26 13:10:46,2018-03-26 13:10:57,10.204s,PASSED
,,,,,,
Test Cases/Stu_withdrawalCourse tesst,Chrome 65.0.3325.162,,2018-03-26 13:10:47,2018-03-26 13:10:57,9.613s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-26 13:10:47,2018-03-26 13:10:52,4.482s,PASSED
navigateToUrl,Chrome 65.0.3325.162,,2018-03-26 13:10:52,2018-03-26 13:10:54,1.725s,PASSED
click,Chrome 65.0.3325.162,,2018-03-26 13:10:54,2018-03-26 13:10:54,0.431s,PASSED
click,Chrome 65.0.3325.162,,2018-03-26 13:10:54,2018-03-26 13:10:54,0.279s,PASSED
waitForElementClickable,Chrome 65.0.3325.162,,2018-03-26 13:10:54,2018-03-26 13:10:54,0.217s,PASSED
click,Chrome 65.0.3325.162,,2018-03-26 13:10:54,2018-03-26 13:10:55,0.255s,PASSED
click,Chrome 65.0.3325.162,,2018-03-26 13:10:55,2018-03-26 13:10:55,0.313s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-26 13:10:55,2018-03-26 13:10:57,1.498s,PASSED
