Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
t-see-GPA,Chrome 65.0.3325.162,,2018-03-28 17:48:49,2018-03-28 17:48:59,9.567s,FAILED
,,,,,,
Test Cases/t-see-GPA,Chrome 65.0.3325.162,,2018-03-28 17:48:49,2018-03-28 17:48:57,7.684s,FAILED
openBrowser,Chrome 65.0.3325.162,,2018-03-28 17:48:50,2018-03-28 17:48:54,4.582s,PASSED
navigateToUrl,Chrome 65.0.3325.162,,2018-03-28 17:48:54,2018-03-28 17:48:56,1.417s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-28 17:48:56,2018-03-28 17:48:56,0.471s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-28 17:48:56,2018-03-28 17:48:57,0.180s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-28 17:48:57,2018-03-28 17:48:57,0.172s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-28 17:48:57,2018-03-28 17:48:57,0.172s,PASSED
click,Chrome 65.0.3325.162,,2018-03-28 17:48:57,2018-03-28 17:48:57,0.156s,PASSED
click,Chrome 65.0.3325.162,,2018-03-28 17:48:57,2018-03-28 17:48:57,0.076s,FAILED
